id,open_date,name,location,lat,lon,threat,commodity,max_ptl_release_gallons,description,year,month,commodity_key_tokens,description_key_tokens
10042,2020-06-02,Small plane crash,"Arcata Bay, Eureka, CA",40.824202,-124.14216040000001,Oil,Aviation fuel,195.0,,2020,6,[],
10036,2020-03-02,GARROW BEND Sunken Tug,"Mobile River, AL",30.655199,-88.0429989,Oil,,,"On February 3, 2020, the USCG Sector Mobile notified the NOAA SSC of tug sunk near the Barry Steam Plant in the Mobile River. An estimated 50-80 gallons of diesel and small amounts of oil/lube was discharged.  The release is contained and OSRO onscene.Notification only. No further action anticipated. Salvage efforts underway.",2020,3,,"[('February 3, 2020', 'DATE'), ('USCG', 'ORG'), ('the Barry Steam Plant', 'FAC'), ('the Mobile River', 'LOC'), ('An estimated 50-80 gallons', 'CARDINAL'), ('OSRO', 'ORG')]"
10037,2020-03-02,"Grounded Vessel, Hilo, Hawaii","Hilo, HI",19.74280556,-155.08875,Oil,,,"On the evening of February 3, 2020, a 70??motorsailer ran aground on rocks north west of Hilo Harbor on the Big Island of Hawaii.  USCG Sector Honolulu requested a trajectory in the event the vessel discharges its contents of 1200 - 1800 gallons of diesel.  USCG is planning to take action at first light tomorrow morning.",2020,3,,"[('the evening of February 3, 2020', 'TIME'), ('70??motorsailer', 'CARDINAL'), ('Hilo Harbor', 'PERSON'), ('the Big Island', 'FAC'), ('Hawaii', 'GPE'), ('USCG', 'ORG'), ('Sector Honolulu', 'PERSON'), ('1200 - 1800 gallons', 'TIME'), ('USCG', 'ORG'), ('first light tomorrow morning', 'TIME')]"
10038,2020-03-02,Mystery Oil Slick Viosca Knoll Block 989,Gulf of Mexico,28.935,-88.635,Oil,,,03 Feb 2020 USCG Sec NOLA requested assistance from NOAA NESDIS regarding an offshore mystery oil slick in the Gulf of Mexico Viosca Knoll Block 989 (NRC 1270287). 04 Feb 2020 two additional mystery oil slicks were reported in the vicinity (NRC 1270338 & 1270346). USCG requested a trajectory to determine potential shoreline impact and an assessment of the potential relationship between the three slicks.,2020,3,,"[('03 Feb 2020', 'CARDINAL'), ('NOAA NESDIS', 'ORG'), ('the Gulf of Mexico', 'LOC'), ('989', 'CARDINAL'), ('NRC', 'ORG'), ('1270287', 'DATE'), ('04', 'CARDINAL'), ('two', 'CARDINAL'), ('NRC 1270338 & 1270346', 'ORG'), ('USCG', 'ORG'), ('three', 'CARDINAL')]"
10035,2020-01-02,"Tabbs Bay Discharge, Baytown, TX","Baytown, TX 77520, USA",29.709034499999998,-94.9843738,Oil,,,"On February 1, 2020, the USCG Sector Houston was notified of 10 - 15 bbl of dark crude oil discharging into Tabbs Bay, located northeast of Texas Ship Channel. The source was reported to be a well head pipeline but the reason for the discharge is currently unknown.  USCG called NOAA requesting trajectory. The source is reportedly secured.",2020,1,,"[('February 1, 2020', 'DATE'), ('USCG', 'ORG'), ('10 - 15', 'CARDINAL'), ('Tabbs Bay', 'LOC'), ('Texas Ship Channel', 'ORG'), ('USCG', 'ORG'), ('NOAA', 'ORG')]"
10039,2020-01-30,Mystery Sheen Mississippi River mm93,"New Orleans, LA, USA",29.95,-90.01972222,Oil,,,"In January 30, 2020, the USCG Sector NOLA received NRC report 1270027 regarding a 1 mile rainbow sheen at Mississippi River mm93 (just down river of downtown New Orleans).  USCG identified dark product pooled along the LDB at mm94.  No source idendified. USCG contracted OSRO to conduct clean up.   No observed impacts to wildlife. No requests for NOAA assistance at this time.",2020,1,,"[('January 30, 2020', 'DATE'), ('USCG', 'ORG'), ('NRC', 'ORG'), ('1270027', 'DATE'), ('1 mile', 'QUANTITY'), ('Mississippi River mm93', 'FAC'), ('New Orleans', 'GPE'), ('USCG', 'ORG'), ('LDB', 'ORG'), ('mm94', 'WORK_OF_ART'), ('USCG', 'ORG'), ('OSRO', 'ORG')]"
10034,2020-01-27,Buoy Adrift and Lost: Long Island Sound,"Southold, NY, USA",41.22944444,-72.06638889,Other,,,"On January 27, 2020, the US Coast Guard Sector Long Island Sound contacted the NOAA SSC for assistance in locating a navigational buoy that parted its anchor chain and drifted away sometime before 24 January 2020.  Both NOAA ORR/ERD and the NOAA Navigation Manager are involved.",2020,1,,"[('January 27, 2020', 'DATE'), ('the US Coast Guard', 'ORG'), ('24 January 2020', 'DATE'), ('ORR/ERD', 'ORG'), ('the NOAA Navigation', 'PRODUCT')]"
10033,2020-01-26,Diesel and sulfuric acid discharge in Mississippi River MM 123,"Destrehan, LA",29.95365,-90.393498,Chemical,Sulfuric Acid,,"On January 26, 2020, the NOAA Regional Response Officer (RRO) received notification from the USCG IMD Sector New Orleans about a vessel sinking at MM 123 and actively discharging diesel into Mississippi River. One of its barge is also actively discharging sulfuric acid into the river.  The NOAA RRO is working with the ERD Chemistry and Oceanography Team",2020,1,[],"[('January 26, 2020', 'DATE'), ('the NOAA Regional Response Officer', 'PRODUCT'), ('the USCG IMD Sector New Orleans', 'ORG'), ('MM', 'ORG'), ('Mississippi River', 'LOC'), ('One', 'CARDINAL'), ('The NOAA RRO', 'WORK_OF_ART'), ('the ERD Chemistry', 'ORG')]"
10032,2020-01-24,50 gal diesel spill Old Fort Bayou NRC 1269451,"Ocean Springs, MS",30.419132,-88.827474,Oil,,,"At 1300 on 24 JAN 2020, USCG Sector Mobile notified SSC of an approximate 50 gallon spill of diesel into the Old Fort Bayou marsh off Highway 609 in Ocean Springs, MS. Discharge was suspected to be from a commercial vessel located near by. USCG collected samples for fingerprinting and hired an OSRO to conduct cleanup. No further support requested.",2020,1,,"[('1300', 'DATE'), ('24 JAN 2020', 'DATE'), ('USCG Sector Mobile', 'ORG'), ('an approximate 50 gallon', 'QUANTITY'), ('Highway 609', 'FAC'), ('Ocean Springs', 'GPE'), ('Discharge', 'PERSON'), ('USCG', 'ORG'), ('OSRO', 'ORG')]"
10031,2020-01-19,Possible sheen report,"Sea Ranch, CA",38.7,-123.43299999999999,Oil,Petroleum,,"On January 19, 2020, the USCG Sector San Francisco contacted their NOAA SSC regarding a pilot report of a possible sheen off northern CA coast, roughly 29 miles upcoast from Bodega Bay, CA.  USCG requested trajectory support.",2020,1,[],"[('January 19, 2020', 'DATE'), ('the USCG Sector San Francisco', 'ORG'), ('roughly 29 miles', 'QUANTITY'), ('Bodega Bay', 'ORG'), ('CA', 'ORG'), ('USCG', 'ORG')]"
10030,2020-01-16,LifeMed Airplane Crash,"Unalaska, AK",53.909440000000004,-166.55638000000002,Oil,Jet A fuel,170.0,,2020,1,[],
10029,2020-01-14,FV Pappy's Pride,"Galveston, TX, USA",29.33719257,-94.68285995,Oil,,,"On January 14, 2020, the 81-foot fishing vessel Pappy's Pride capsized after a collision with the 600-foot chemical tanker Bow Fortune near the Galveston jetties in Galveston, Texas.  Two fishermen were rescued. The search for the remaining two fishermen is ongoing.  Potential 14,000 gallons red-dyed diesel, tanks compromised at time of impact. USCG requested trajectory and resources at risk. The cause of the collision is under investigation.",2020,1,,"[('January 14, 2020', 'DATE'), ('Bow Fortune', 'PERSON'), ('Galveston', 'GPE'), ('Galveston', 'GPE'), ('Texas', 'GPE'), ('Two', 'CARDINAL'), ('two', 'CARDINAL'), ('14,000 gallons', 'QUANTITY'), ('trajectory', 'CARDINAL')]"
10028,2020-01-01,FV Scandies Rose sinking,"Sutwik Island, Alaska",56.491719999999994,-157.0178,Oil,diesel,120000.0,,2020,1,[],
10027,2019-12-20,Port of Coos Bay Ammonia Release,"63534 Kingfisher Rd, Coos Bay, OR",43.34598594,-124.324699,Chemical,,,"On December 20, 2019, the USCG Station Coos Bay, Oregon, called the NOAA Emergency Response Division to request an air plume model for a potential ammonia release.  A seafood processing facility at the Port is on fire and there is concern about a 300 lb ammonia cylinder. Status of the tank is unknown. Area being evacuated.  Hazmat team en route.",2019,12,,"[('December 20, 2019', 'DATE'), ('the USCG Station Coos Bay', 'PRODUCT'), ('Oregon', 'GPE'), ('the NOAA Emergency Response Division', 'ORG'), ('Port', 'LOC'), ('300', 'CARDINAL')]"
10026,2019-12-18,F/V MANDY JANE sunk,"off San Francisco, CA",37.74,-122.72,Oil,diesel,1000.0,,2019,12,[],
10025,2019-12-17,Sea View Harbor Vessel Fire,"Mystic Islands, NJ 08087, USA",39.55361244,-74.42468265,Oil,Diesel Fuel,2000.0,,2019,12,[],
10022,2019-12-15,M/V Levant - Pier Allision,"Ferndale, WA",48.8515219,-122.59132859999998,Oil,,,"On December 15, 2019, NOAA ERD was notified of an allision between a 741-foot LPG carrier and a pier in Ferndale, WA. The allision occurred at 0445 PST and the damaged vessel was carrying a reported 33,000 tons of propane/butane. The water surrounding the vessel is reported to be free of sheen and NOAA support is not requested at this time (notification only).",2019,12,,"[('December 15, 2019', 'DATE'), ('NOAA ERD', 'ORG'), ('LPG', 'ORG'), ('Ferndale', 'GPE'), ('WA', 'ORG'), ('0445', 'DATE'), ('PST', 'ORG'), ('33,000 tons', 'QUANTITY')]"
10023,2019-12-15,M/V TECUMSEH Engine Room Fire,"Windsor, ON, Canada",42.2772,-83.1011,Oil,Diesel,42000.0,,2019,12,[],
10024,2019-12-14,"Whitney Oil & Gas Tank Battery 49, Garden Island Bay","Venice, LA 70091, USA",29.07554167,-89.16472222,Oil,,,"On December 14, 2019, at approximately 0733 hrs, Sector New Orleans Incident Management Division (IMD) received NRC#1266407 reporting of approximately 23-25 bbls of crude oil discharged from a broken reducer on the discharge side of a pump, which serviced a 2??flowline between the Dry Oil Tank and storage barge at the Tank Battery 49 facility, located in Garden Island Bay in Plaquemines Parish. SSC Notified",2019,12,,"[('December 14, 2019', 'DATE'), ('Sector New Orleans Incident Management Division', 'ORG'), ('IMD', 'ORG'), ('NRC#1266407', 'CARDINAL'), ('approximately 23-25', 'CARDINAL'), ('the Dry Oil Tank', 'ORG'), ('49', 'CARDINAL'), ('Garden Island Bay', 'LOC')]"
10021,2019-10-12,Barge Ironmaster Tug Anglian Lady Aground,"ON, Canada",42.51585,-82.68455,Oil,,,"On the morning of December 8, 2019, Barge Ironmaster and Tug Anglian Lady ran aground near the border in Lake St. Clair.  3,500L of diesel on board. No spill observed.   CANUSLAK Notification/Activation at 1800 10 Dec.",2019,10,,"[('the morning of December 8, 2019', 'TIME'), ('Barge Ironmaster', 'PERSON'), ('Tug Anglian', 'PERSON'), ('Lake St. Clair', 'GPE'), ('3,500L', 'CARDINAL'), ('1800 10 Dec.', 'DATE')]"
10020,2019-09-12,Finley BNSF Diesel Spill Hover Park,"Kennewick, WA",46.1235,-118.9908,Oil,,,"December 09, 2019 - Washington State Department of Ecology notified NOAA ERD of an approximately 500 gallon diesel release from a rail car over 11 miles of track near the Columbia River. EPA is the federal response agency.",2019,9,,"[('December 09, 2019', 'DATE'), ('Washington State Department of Ecology', 'ORG'), ('NOAA ERD', 'ORG'), ('an approximately 500 gallon', 'QUANTITY'), ('11 miles', 'QUANTITY'), ('the Columbia River', 'LOC'), ('EPA', 'ORG')]"
10019,2019-09-12,F/V SEA ANGELS Grounding,Browns Inlet NC,34.59349937,-77.23123169,Oil,Diesel Fuel,18000.0,,2019,9,[],
10017,2019-04-12,Lake Pelto Equipment Failure,"Chauvin, LA 70344, USA",29.05986944,-90.72756111,Oil,Crude Oil,630.0,,2019,4,[],
10018,2019-02-12,Bayou Bouillion Vessel Discharge,"Parish Governing Authority District 5, LA, USA",30.26916667,-91.61416667,Oil,Oil,,"On December 2, 2019, the USCG received a report of an unknown amount of Louisiana sweet crude discharge from a hole on a permanently moored barge in the Atchafalaya river. SSC notified. NRC# 1265267",2019,2,[],"[('December 2, 2019', 'DATE'), ('USCG', 'ORG'), ('Louisiana', 'GPE'), ('Atchafalaya', 'LOC'), ('NRC', 'ORG')]"
10015,2019-02-12,Pleasure Craft MARCHELLE aground,"West side of Catalina Island, CA",33.419000000000004,-118.488,Oil,Diesel,800.0,,2019,2,[],
10016,2019-11-27,"Grounded vessel, Kauai, HI","Fuji Beach, Kauai, HI",22.06333333,-159.31799999999998,Oil,gasoline,70.0,"On the morning of November 26, USCG Sector Honolulu was notified of a 20-foot rigid hull inflatable boat beached and soft aground on Fuji Beach, Kauai, HI, on the shoreline adjacent to the World Mark Hotel Kapa?嚙窮 Shore.  The vessel was overturned and discharging gasoline at a steady drip through the tank fuel cap.  The tank appeared to be intact and the discharge was initially being captured.  By the morning of November 27, the vessel had re-righted itself in the overnight tide and surf and was grounded further up on the beach.  There was no longer any sign of discharge.  USCG requested an assessment of trajectory and persistence of potential discharge of the gasoline on board, assuming a worst-case of 70 gallons based on tank capacity.  Verbal support was provided.  By the early afternoon of November 27, the vessel had been pulled out of the water and the owner had craned it onto a trailer.  No release of gasoline was reported.",2019,11,[],"[('the morning of November 26', 'TIME'), ('Sector Honolulu', 'PERSON'), ('Fuji Beach', 'GPE'), ('Kauai', 'GPE'), ('the World Mark', 'ORG'), ('the morning of November 27', 'TIME'), ('USCG', 'ORG'), ('70 gallons', 'QUANTITY'), ('the early afternoon of November 27', 'TIME')]"
10014,2019-11-27,TPC Port Neches Explosion,"Nederland, Texas",29.97694444,-93.94722222,Chemical,butadiene,,"On November 27, 2019, a tank at the TPC facility in Port Neches, TX exploded.  Current reports indicate the tank contained butadiene.  Facility caught fire.  MSU Port Arthur contacted NOAA SSC to request air plume model.  NOAA SSC has coordinated with NWS Lake Charles, and provided Hysplit model to MSU Port Arthur, along with chemical information for butadiene.",2019,11,[],"[('November 27, 2019', 'DATE'), ('TPC', 'PRODUCT'), ('Port Neches', 'GPE'), ('TX', 'ORG'), ('Facility', 'ORG'), ('MSU', 'ORG'), ('NWS Lake Charles', 'ORG'), ('MSU Port Arthur', 'ORG')]"
10013,2019-11-22,Kitoi Bay Hatchery Release,"Afognak Island, AK",58.190830000000005,-152.37027,Oil,diesel,1200.0,,2019,11,[],
10011,2019-11-17,"Tugboat Miss Bonnie Allision, Oregon Inlet, NC","Herbert C. Bonner Bridge, Oregon Inlet, NC",35.77281188,-75.53485106,Oil,Diesel Fuel,500.0,,2019,11,[],
10012,2019-11-16,Crowley Barge 650-2 Crude Oil Spill,"Anacortes, WA",48.50453554,-122.57486340000001,Oil,,,"Saturday, November 16, 2019 3:14 AM - An estimated 20 gallons of Alaska North Slope Crude was spilled onto the deck of a barge during transfer operations in North Puget Sound, Washington. It was estimated that 5 gallons entered the water. On Sunday morning, Washington State's Department of Ecology gave final approval of the cleanup. Investigation into root cause is ongoing.",2019,11,,"[('Saturday, November 16, 2019', 'DATE'), ('An estimated 20 gallons', 'QUANTITY'), ('Alaska North Slope Crude', 'ORG'), ('North Puget Sound', 'GPE'), ('Washington', 'GPE'), ('5 gallons', 'QUANTITY'), ('Sunday', 'DATE'), ('morning', 'TIME'), (""Washington State's"", 'GPE'), ('Department of Ecology', 'ORG')]"
10009,2019-11-14,OSV BOTRUC 22 spill,"off Sabine Pass, TX",29.675,-93.835,Oil,Diesel,700.0,,2019,11,[],
10008,2019-11-13,Recreational vessel TUSSLER sunk,"off La Jolla, CA",32.8667,-117.6208,Oil,Diesel,800.0,,2019,11,[],
10007,2019-12-11,Onyx Grounding,"Strait Island, AK",56.39666999999999,-133.71667,Oil,diesel,100.0,,2019,12,[],
10010,2019-11-11,TPIC Bayou Perot ISB 2019,"Delta Farms, Barataria, LA",29.642638,-90.18337,Oil,,,"On November 9, 2019, the Texas Petroleum Investment Company (TPIC) discovered a flowline Delta Farm #96 Well developed a leak and released oil into a floating marsh. Less than 1 acre of marsh has been impacted. The current estimate of discharged oil is less than 10bbs.",2019,11,,"[('November 9, 2019', 'DATE'), ('the Texas Petroleum Investment Company', 'ORG'), ('Delta Farm', 'ORG'), ('96', 'MONEY'), ('Less than 1 acre', 'QUANTITY'), ('10bbs', 'DATE')]"
10006,2019-10-11,F/V Miss Haley sunk,off Northern CA,38.45,-123.6,Oil,Diesel,3500.0,,2019,10,[],
10005,2019-07-11,Calcasieu Ship Channel Discharge,"Lake Charles, LA",30.13166667,-93.32055556,Oil,Sweet Louisiana Crude,1400.0,,2019,7,"[('Sweet Louisiana Crude', 'PERSON')]",
10004,2019-06-11,"HFO Spill, Honolulu Harbor, HI","Honolulu Harbor near Piers 19 and 20, Honolulu, HI 96817, USA",21.30847553,-157.8679696,Oil,Heavy Fuel Oil,84.0,,2019,6,[],
10003,2019-01-11,F/V FT Pierce Lady,Atlantic Ocean,25.30027778,-79.6525,Oil,,,"On November 1, 2019, the USCG Sector Miami notified the SSC that the 65 foot wooden fishing vessel Ft Pierce Lady sank 35 miles east of Elliott Key with 1200 gallons of diesel, 22 gallons of gasoline, and 40 gallons of paint onboard. USCG requested a spill trajectory for the incident.",2019,1,,"[('November 1, 2019', 'DATE'), ('USCG', 'ORG'), ('Sector Miami', 'PERSON'), ('65 foot', 'QUANTITY'), ('35 miles', 'QUANTITY'), ('Elliott Key', 'LOC'), ('1200 gallons', 'QUANTITY'), ('22 gallons', 'QUANTITY'), ('40 gallons', 'QUANTITY'), ('USCG', 'ORG')]"
9998,2019-10-27,Calpine Corp: Propylene Glycol,"9 Bridge St, Weymouth, MA, USA",42.2425,-70.9656,Chemical,,,"On October 27, 2019,  the Calpine Corp. in Weymouth, Ma reported to the USCG that it accidentally released 500-1000 gallons of propylene glycol into into storm drains on the property that eventually lead to the Fore River and into the Boston outer harbor.  Sector Boston contacted the NOAA SSC for information on the fate and toxicity of the product.",2019,10,,"[('October 27, 2019', 'DATE'), ('the Calpine Corp.', 'ORG'), ('Weymouth', 'GPE'), ('Ma', 'PERSON'), ('USCG', 'ORG'), ('500-1000 gallons', 'QUANTITY'), ('the Fore River', 'LOC'), ('Boston', 'GPE'), ('Sector Boston', 'ORG')]"
10001,2019-10-27,"James River, Virginia Diesel Oil Spill","Hampton, VA, USA",36.98032249,-76.34362794,Oil,Diesel Fuel,,"On Sunday, 27 October, 2019, both USCG Sector HamptonRoads and Virginia DEQ notified the NOAA SSC about an oil spill in the vicinity of Outlook Beach, located near the mouth of the James River. Both source and volume spilled are unknown. The product appears to be diesel fuel.",2019,10,[],"[('Sunday', 'DATE'), ('27 October, 2019', 'DATE'), ('Sector HamptonRoads', 'PERSON'), ('Virginia DEQ', 'PERSON'), ('Outlook Beach', 'GPE'), ('the James River', 'LOC')]"
10000,2019-10-27,TPIC Breton Sound 37 Facility Spill,"LA, USA",29.51733333,-89.12563889,Oil,,,"On October 27, 2019, the USCG notified the NOAA SSC of an 8 mile mystery sheen in Breton Sound in the vicinity of the Chandeleur Islands. Later confirmed that source of sheen was a damaged TPIC wellhead 37. USFW is engaged and providing remote support. NOAA provided initial trajectory and will continue support.",2019,10,,"[('October 27, 2019', 'DATE'), ('USCG', 'ORG'), ('8 mile', 'QUANTITY'), ('Breton Sound', 'GPE'), ('the Chandeleur Islands', 'LOC'), ('sheen', 'ORG'), ('37', 'CARDINAL')]"
9999,2019-10-27,Whitney Oil & Gas TB49 Spill,"Venice, LA, USA",29.07519444,-89.16461111,Oil,,,"On October 27, 2019, the USCG was notified of a discharge of crude oil from Whitney Oil & Gas Tank Battery 49 into the Pass A Loutre Wildlife Management Area.",2019,10,,"[('October 27, 2019', 'DATE'), ('USCG', 'ORG'), ('Whitney Oil & Gas Tank', 'ORG'), ('49', 'CARDINAL'), ('the Pass A Loutre Wildlife Management Area', 'LAW')]"
9997,2019-10-24,"Grounded Sailboat, Maui, Hawaii","Lahaina, HI , USA",20.80747158,-156.6221237,Oil,Diesel,150.0,,2019,10,[],
9996,2019-10-22,LPG Tanker EPIC BALTA Fire,"Venice, LA, USA",29.20866667,-89.28016667,Oil,,,"On October 22, 2019, the USCG notified the NOAA SSC of LPG Tanker MV EPIC BALTA on fire at Pilottown, LA near Pass a Loutre State Wildlife Management Area.  USCG requesting fate and trajectory",2019,10,,"[('October 22, 2019', 'DATE'), ('USCG', 'ORG'), ('LPG Tanker', 'ORG'), ('Pilottown', 'GPE'), ('LA', 'GPE'), ('Pass a Loutre State Wildlife Management Area', 'ORG'), ('USCG', 'ORG')]"
9994,2019-10-21,FMT 3114 Barge MM 480 Mississippi River,"Transylvania, LA , USA",32.732929999999996,-91.1009,Oil,crude oil,,"On October 20, 2019, the USCG MSD Vicksburg (Sector Lower MS River) contacted the NOAA SSC regarding a barge collision on the MS River near mile marker (MM) 480 (about 3 miles south of Lake Providence, Louisiana). The volume of release reported at 40 barrels. The release is reportedly secured with a patch.",2019,10,[],"[('October 20, 2019', 'DATE'), ('USCG', 'ORG'), ('Sector Lower', 'ORG'), ('MS River', 'LOC'), ('the MS River', 'LOC'), ('MM', 'PERSON'), ('480', 'CARDINAL'), ('about 3 miles', 'QUANTITY'), ('Lake Providence', 'GPE'), ('Louisiana', 'GPE'), ('40 barrels', 'QUANTITY')]"
9995,2019-10-21,FV Furious Sea and FV Coral Sea,"Ferndale, WA",48.78985694,-122.7039642,Oil,,,"Monday, October 21, 2019 at 1500 PDT - NOAA ERD was notified of a 55-foot fishing vessel that sank near Sandy Point Marina, Ferndale, Washington. The fuel tanks are reported to be empty and only a small sheen is observed above the sunken vessel. The Coast Guard has federalized the response. This is a notification only - no products are requested at this time.",2019,10,,"[('Monday, October 21, 2019', 'DATE'), ('1500', 'CARDINAL'), ('Sandy Point Marina', 'ORG'), ('Ferndale', 'GPE'), ('Washington', 'GPE'), ('The Coast Guard', 'ORG')]"
